"label","kind","route","guest","member","manager","admin","superadmin"
"App Start","PORTAL","/app/","false","true","true","true","true"
"Admin Board","PORTAL","/app/admin-panel/","false","false","false","false","true"
"Arbeitseinsätze","PORTAL","/app/arbeitseinsaetze/","false","true","true","true","true"
"Arbeitseinsätze Cockpit","PORTAL","/app/arbeitseinsaetze/cockpit","false","false","true","true","true"
"Ausweis","PORTAL","/app/ausweis/","false","true","true","true","true"
"Ausweis Verifizieren","PORTAL","/app/ausweis/verifizieren","false","true","true","true","true"
"Bewerbungen","PORTAL","/app/bewerbungen/","false","true","true","true","true"
"Component Library","PORTAL","/app/component-library/","false","false","false","false","true"
"Dokumente","PORTAL","/app/dokumente/","false","false","true","true","true"
"Einstellungen","PORTAL","/app/einstellungen/","false","true","true","true","true"
"Fangliste","PORTAL","/app/fangliste/","false","true","true","true","true"
"Fangliste Cockpit","PORTAL","/app/fangliste/cockpit","false","false","true","true","true"
"Gewässerkarte","PORTAL","/app/gewaesserkarte/","false","true","true","true","true"
"Mitglieder","PORTAL","/app/mitglieder/","false","false","true","true","true"
"Mitgliederverwaltung","PORTAL","/app/mitgliederverwaltung/","false","false","true","true","true"
"Notes","PORTAL","/app/notes/","false","true","true","true","true"
"Passwort ändern","PORTAL","/app/passwort-aendern/","false","true","true","true","true"
"Sitzungen","PORTAL","/app/sitzungen/","false","true","true","true","true"
"Template Studio","PORTAL","/app/template-studio/","false","false","false","false","true"
"Termine Cockpit","PORTAL","/app/termine/cockpit","false","false","true","true","true"
"UI Neumorph Demo","PORTAL","/app/ui-neumorph-demo/","false","true","true","true","true"
"Vereine","PORTAL","/app/vereine/","false","false","false","false","true"
"Zuständigkeiten","PORTAL","/app/zustaendigkeiten/","false","true","true","true","true"
"Startseite","WEB","/","true","true","true","true","true"
"Anglerheim Ottenheim","WEB","/anglerheim-ottenheim","true","true","true","true","true"
"Datenschutz","WEB","/datenschutz","true","true","true","true","true"
"Docs","WEB","/docs","true","true","true","true","true"
"Downloads","WEB","/downloads","true","true","true","true","true"
"Fischereiprüfung","WEB","/fischereipruefung","true","true","true","true","true"
"Impressum","WEB","/impressum","true","true","true","true","true"
"Kontakt","WEB","/kontakt","true","true","true","true","true"
"Login","WEB","/login","true","true","true","true","true"
"Mitglied werden","WEB","/mitglied-werden","true","true","true","true","true"
"Nutzungsbedingungen","WEB","/nutzungsbedingungen","true","true","true","true","true"
"Offline","WEB","/offline","true","true","true","true","true"
"Passwort vergessen","WEB","/passwort-vergessen","true","true","true","true","true"
"Registrieren","WEB","/registrieren","true","true","true","true","true"
"Termine","WEB","/termine","true","true","true","true","true"
"VDAN Jugend","WEB","/vdan-jugend","true","true","true","true","true"
"Veranstaltungen","WEB","/veranstaltungen","true","true","true","true","true"
"Vereinsshop","WEB","/vereinsshop","true","true","true","true","true"
